aX,aY,aZ,gX,gY,gZ
0.226,-0.122,1.381,1.526,-20.569,2.808
0.15,-0.109,1.531,-2.014,-25.146,16.174
0.171,-0.002,1.709,-9.949,-29.846,33.02
0.196,0.037,1.832,-13.123,-28.076,45.593
0.25,0.103,1.99,-21.667,-24.536,46.143
0.259,0.084,2.11,-32.837,-23.743,41.992
0.309,0.016,2.301,-66.162,-18.677,57.495
0.275,0.154,2.688,-94.36,16.235,52.856
0.309,0.21,2.771,-84.351,29.48,36.987
0.297,0.212,2.752,-63.721,45.349,20.081
0.245,0.189,2.576,-42.603,64.88,5.981
0.124,0.157,2.179,-24.841,109.009,-8.423
0.055,0.06,1.863,-15.503,127.014,-12.939
0.007,0.043,1.578,-7.69,144.592,-14.587
-0.168,-0.043,0.624,16.052,170.837,-17.883
-0.174,-0.119,0.376,12.451,160.522,-16.418
-0.227,-0.179,0.126,5.798,148.376,-13.0
-0.237,-0.235,-0.057,-6.653,136.902,-6.714
-0.266,-0.255,-0.204,-20.996,124.329,-0.916
-0.256,-0.248,-0.296,-30.823,115.112,4.272
-0.226,-0.262,-0.393,-39.978,104.675,10.803
-0.191,-0.266,-0.46,-51.819,89.966,19.348
-0.13,-0.234,-0.446,-61.462,75.928,26.855
-0.062,-0.16,-0.379,-59.814,66.406,30.762
-0.001,-0.115,-0.293,-42.542,62.622,29.358
0.01,-0.069,-0.303,-18.677,63.049,24.231
-0.014,0.009,-0.427,-2.686,64.758,17.639
-0.057,-0.015,-0.625,1.16,69.031,9.216
-0.118,-0.172,-0.899,-2.808,72.998,4.517
-0.186,-0.323,-1.204,-8.362,74.768,4.822
-0.285,-0.48,-1.541,-7.324,69.641,6.653
-0.323,-0.444,-1.71,29.297,-29.602,32.41
-0.228,-0.177,-1.382,32.837,-61.279,42.786
-0.117,0.012,-1.066,40.222,-87.402,44.678
-0.078,0.017,-0.803,47.852,-103.882,39.612
-0.066,0.029,-0.536,43.945,-110.352,38.208
-0.063,0.123,-0.272,30.273,-112.549,40.222
-0.088,0.28,0.221,7.263,-133.179,42.053
-0.099,0.293,0.456,6.47,-136.23,37.659
-0.142,0.118,0.776,23.804,-134.827,27.588
-0.129,0.072,1.046,42.053,-131.531,23.437
-0.069,0.103,1.445,66.162,-128.601,20.63
-0.043,0.177,1.806,89.661,-125.549,15.93
0.05,0.22,2.13,98.694,-123.657,6.531
0.076,0.339,2.339,90.027,-113.464,-4.333
0.335,0.326,2.53,71.716,-81.848,-7.629
0.301,0.131,2.176,26.123,-79.285,-25.391
0.259,0.055,2.152,15.503,-79.407,-28.809
0.15,0.044,2.358,8.972,-135.742,-10.864
0.23,0.158,2.467,14.526,-88.867,13.977
0.265,0.265,2.645,17.029,-78.979,15.076
0.233,0.325,2.677,15.32,-71.96,12.268
0.256,0.393,2.723,9.583,-52.124,12.939
0.242,0.381,2.681,4.028,0.244,6.775
0.257,0.278,2.558,-3.296,16.541,9.338
0.193,0.348,2.395,-6.592,42.969,12.756
0.187,0.404,2.427,-2.258,52.307,9.583
0.275,0.1,2.289,16.174,76.233,-3.174
0.281,0.018,2.202,4.517,86.243,-7.996
0.187,-0.013,1.909,-10.742,87.646,-3.784
0.224,0.013,1.907,-29.907,88.318,1.404
0.248,0.02,1.94,-40.1,92.041,4.395
0.222,-0.049,1.835,-33.386,98.755,3.235
0.152,-0.05,1.702,-24.048,101.929,1.16
0.145,0.003,1.575,-6.47,111.816,1.77
0.13,0.005,1.443,7.324,121.399,2.319
0.095,0.091,1.275,20.691,121.704,-3.418
0.151,0.205,1.17,33.752,115.479,-14.709
0.192,0.287,1.086,44.067,111.816,-23.682
0.175,0.357,1.031,46.814,111.511,-29.785
-0.044,0.089,0.399,1.038,116.821,-36.621
-0.049,0.024,0.287,-33.081,113.77,-31.433
-0.112,-0.081,0.105,-59.143,106.873,-23.682
-0.149,-0.142,-0.014,-76.782,97.351,-15.32
-0.135,-0.214,-0.017,-78.003,89.661,-9.583
-0.125,-0.253,0.016,-60.669,84.29,-7.263
-0.123,-0.271,0.0,-31.738,79.773,-7.629
-0.101,-0.221,-0.002,-3.479,74.646,-7.568
-0.08,-0.152,-0.004,18.677,71.045,-8.789
-0.116,-0.082,-0.076,29.297,69.763,-10.498
-0.102,-0.048,-0.279,15.93,70.679,-11.169
-0.11,-0.116,-0.429,6.287,71.35,-11.536
-0.094,-0.256,-0.797,-13.794,57.251,-3.113
-0.098,-0.237,-0.868,-16.602,45.593,1.526
-0.056,-0.088,-0.913,17.151,8.85,8.423
-0.036,-0.064,-0.89,29.419,-7.263,7.935
-0.021,-0.083,-0.735,20.691,-63.782,8.362
-0.013,-0.132,-0.632,7.263,-75.317,9.033
-0.018,-0.212,-0.537,-3.54,-83.74,9.155
-0.038,-0.29,-0.477,-7.08,-91.858,8.728
-0.107,-0.27,-0.42,-5.432,-100.83,13.184
-0.159,-0.123,-0.305,-0.671,-110.229,19.714
-0.141,-0.039,-0.182,10.01,-121.094,20.264
-0.073,0.0,-0.019,19.897,-132.629,17.273
-0.017,-0.009,0.094,23.376,-142.578,17.212
-0.005,0.045,0.187,19.104,-151.306,19.714
-0.007,0.069,0.291,13.245,-152.405,20.569
-0.107,-0.032,0.313,9.827,-148.499,14.648
-0.226,-0.143,0.684,-2.441,-151.917,14.404
-0.19,-0.252,1.179,4.333,-161.987,18.555
-0.093,-0.198,1.428,21.423,-159.973,22.278
-0.009,-0.075,1.619,43.396,-153.748,23.804
0.127,0.093,1.841,59.021,-146.423,23.926
0.156,0.175,1.878,68.726,-137.695,21.118
0.182,0.202,1.913,66.345,-119.629,20.935
0.105,0.264,1.817,47.546,-108.337,22.156
0.075,0.386,2.059,21.301,-110.352,24.597
-0.031,0.255,1.999,1.16,-126.77,27.588
-0.001,0.269,2.117,-16.541,-115.601,23.132
0.06,0.279,2.304,-22.156,-112.915,25.208
0.118,0.255,2.475,-15.564,-113.22,26.733
0.144,0.314,2.618,-6.165,-107.422,29.663
0.174,0.403,2.781,4.028,-88.989,33.325
0.258,0.495,2.904,16.968,-65.002,32.471
