aX,aY,aZ,gX,gY,gZ
0.026,-0.798,1.053,-122.681,11.414,33.081
0.027,-0.877,1.071,-122.07,13.794,54.26
-0.003,-0.938,1.065,-107.91,11.597,74.341
-0.04,-0.903,1.158,-86.731,3.113,94.238
0.01,-0.849,1.202,-59.57,-7.996,115.295
0.42,0.448,1.998,-53.467,34.241,164.734
0.339,0.835,2.002,-87.28,71.655,164.246
0.174,1.181,1.606,-87.219,114.197,123.047
0.139,1.323,1.486,-88.318,120.178,113.831
0.096,1.624,1.259,-86.182,134.399,99.365
-0.042,1.686,1.072,-82.397,142.395,92.712
-0.149,1.728,0.909,-84.167,149.109,86.731
-0.362,2.026,0.629,-99.243,138.062,65.613
-0.457,2.145,0.551,-96.13,127.808,38.574
-0.503,2.197,0.501,-80.444,111.755,-36.499
-0.565,1.806,0.251,-101.44,96.558,-92.285
-0.584,1.65,0.105,-112.488,88.623,-108.337
-0.724,1.264,-0.27,-116.943,60.547,-141.907
-0.794,1.035,-0.429,-106.384,45.532,-161.621
-0.835,0.712,-0.617,-93.201,27.893,-176.514
-0.856,0.466,-0.706,-85.388,5.92,-182.495
-0.852,0.355,-0.672,-80.139,-16.968,-182.251
-0.848,0.187,-0.594,-67.505,-36.804,-182.739
-0.838,0.091,-0.432,-54.565,-51.208,-186.34
-0.794,-0.079,-0.277,-53.528,-58.472,-186.401
-0.811,-0.37,-0.183,-75.378,-64.697,-179.626
-0.852,-0.685,-0.116,-117.737,-75.684,-166.931
-0.83,-0.957,-0.028,-158.936,-90.576,-148.193
-0.729,-1.255,0.099,-179.321,-106.506,-127.258
-0.572,-1.527,0.217,-174.011,-121.155,-111.877
-0.523,-1.677,0.309,-148.254,-131.897,-102.417
-0.493,-1.903,0.387,-106.445,-139.648,-97.351
-0.307,-2.104,0.605,-19.897,-148.621,-83.435
-0.246,-1.93,0.755,33.508,-153.015,-25.574
-0.171,-1.652,0.817,45.532,-158.752,6.042
-0.101,-1.428,0.914,55.786,-163.94,30.579
-0.088,-1.255,0.965,62.378,-165.344,46.021
-0.048,-1.164,1.046,56.702,-163.391,60.303
-0.01,-1.18,1.197,45.105,-154.785,77.637
-0.028,-1.117,1.327,31.433,-140.442,103.699
-0.03,-0.915,1.503,19.897,-130.066,139.038
0.011,-0.632,1.726,21.362,-127.014,171.631
0.148,0.131,2.147,77.026,-103.943,195.374
0.204,0.399,2.323,113.525,-87.769,191.956
0.278,0.684,2.525,135.254,-74.768,191.101
0.427,0.991,2.753,132.751,-63.477,198.364
0.517,1.179,2.865,112.305,-49.744,208.923
0.546,1.351,2.891,80.811,-28.625,210.205
0.582,1.362,2.882,52.856,1.465,196.533
0.512,1.22,2.765,34.424,32.532,174.927
0.374,1.119,2.584,17.212,55.847,157.654
0.238,1.062,2.372,4.517,71.106,147.461
0.025,1.047,2.119,-2.808,79.59,139.282
-0.171,1.047,1.902,-8.423,80.872,135.742
-0.255,1.123,1.802,-13.672,69.824,137.695
-0.242,1.353,1.828,-7.874,62.317,135.376
-0.235,1.431,1.813,15.015,62.012,130.066
-0.225,1.354,1.793,36.865,63.843,126.16
-0.301,1.507,1.744,36.377,77.942,118.53
-0.427,1.68,1.631,24.353,102.112,90.027
-0.514,1.659,1.413,13.611,109.375,72.327
-0.515,1.646,1.332,1.831,121.765,57.373
-0.492,1.635,1.317,-9.888,131.104,46.082
-0.501,1.688,1.293,-18.677,135.071,37.231
-0.467,1.782,1.343,-25.33,138.611,29.175
-0.416,1.832,1.366,-33.936,142.334,23.621
-0.358,1.89,1.355,-43.152,146.851,17.883
-0.348,1.909,1.317,-48.889,153.687,7.935
-0.364,1.874,1.256,-52.124,160.95,-2.93
-0.399,1.805,1.155,-55.969,165.71,-14.954
-0.458,1.24,0.651,-74.219,144.104,-86.121
-0.432,1.15,0.55,-63.477,142.883,-99.365
-0.425,1.086,0.45,-51.453,142.334,-107.91
-0.484,1.01,0.282,-35.156,139.709,-117.188
-0.517,0.9,0.088,-15.625,135.864,-131.531
