aX,aY,aZ,gX,gY,gZ
0.094,-0.011,0.948,5.615,-0.244,2.625
0.093,-0.013,0.948,5.798,-0.244,2.502
0.1,-0.014,0.961,5.737,0.122,2.686
0.098,-0.021,0.941,5.676,-0.549,2.747
0.093,-0.005,0.954,5.371,-0.366,2.686
0.099,-0.008,0.956,5.615,0.0,2.625
0.099,-0.014,0.944,5.31,-0.61,2.625
0.091,0.0,0.953,5.493,-0.366,2.686
0.093,-0.001,0.953,5.615,-0.305,2.747
0.092,0.001,0.954,5.554,-0.244,2.686
0.091,0.001,0.949,5.615,-0.244,2.563
0.087,-0.0,0.953,5.493,-0.427,2.625
0.092,-0.003,0.954,5.615,-0.305,2.625
0.095,-0.01,0.948,5.737,-0.183,2.625
0.095,-0.011,0.951,5.615,-0.244,2.808
0.097,-0.014,0.955,5.737,-0.122,2.808
0.098,-0.018,0.95,5.676,-0.244,2.625
0.097,-0.015,0.953,5.615,-0.366,2.808
0.097,-0.013,0.951,5.676,-0.427,2.808
0.096,-0.011,0.951,5.798,-0.427,2.747
0.095,-0.008,0.952,5.371,-0.488,2.686
0.094,-0.005,0.953,5.554,-0.366,2.869
0.094,-0.003,0.953,5.554,-0.366,2.686
0.093,-0.001,0.953,5.493,-0.305,2.686
0.093,-0.002,0.953,5.676,-0.244,2.747
0.092,-0.002,0.952,5.737,-0.366,2.625
0.092,-0.005,0.952,5.554,-0.244,2.625
0.092,-0.008,0.951,5.798,-0.305,2.747
0.092,-0.011,0.952,5.737,-0.244,2.747
0.093,-0.013,0.952,5.859,-0.183,2.747
0.094,-0.013,0.953,5.92,-0.305,2.747
0.096,-0.013,0.951,5.737,-0.305,2.808
0.098,-0.012,0.951,5.798,-0.183,2.747
0.095,-0.009,0.951,5.432,-0.244,2.869
0.092,-0.008,0.951,5.554,-0.244,2.686
0.093,-0.006,0.952,5.737,-0.305,2.808
0.092,-0.005,0.953,5.615,-0.366,2.808
0.093,-0.003,0.953,5.554,-0.122,2.686
0.093,-0.005,0.951,5.676,-0.244,2.747
0.094,-0.005,0.952,5.676,-0.305,2.686
0.094,-0.007,0.952,5.859,-0.305,2.869
0.095,-0.01,0.95,5.859,-0.244,2.747
0.095,-0.01,0.952,5.737,-0.183,2.686
0.096,-0.013,0.952,5.554,-0.244,2.747
0.096,-0.013,0.951,5.676,-0.427,2.808
0.095,-0.012,0.949,5.676,-0.244,2.808
0.101,-0.016,0.965,5.798,-0.122,2.808
0.097,-0.011,0.936,5.676,-0.427,2.686
0.094,-0.001,0.958,5.615,-0.183,2.625
0.098,-0.011,0.955,5.615,-0.427,2.686
0.097,-0.008,0.945,5.676,-0.183,2.808
0.093,0.001,0.957,5.737,-0.183,2.563
0.096,-0.003,0.951,5.737,-0.305,2.686
0.095,-0.007,0.951,5.676,-0.366,2.625
0.093,-0.004,0.954,5.676,-0.183,2.686
0.094,-0.008,0.951,5.737,-0.122,2.747
0.094,-0.011,0.951,5.676,-0.305,2.747
0.094,-0.013,0.951,5.859,-0.244,2.625
0.094,-0.014,0.95,5.859,-0.061,2.625
0.093,-0.015,0.949,5.676,-0.183,2.808
0.094,-0.014,0.946,5.615,-0.183,2.808
0.098,-0.016,0.943,5.371,-0.366,2.869
0.098,-0.002,0.962,5.127,-0.549,2.808
0.09,0.005,0.961,5.493,-0.244,2.625
0.103,-0.005,0.952,5.737,0.183,2.563
0.089,0.013,0.947,5.432,-0.366,2.625
-0.046,0.354,1.04,7.324,1.282,-2.502
-0.229,0.382,1.044,13.0,14.771,-26.55
-0.206,0.362,0.874,-4.639,26.428,-43.945
0.242,0.016,1.043,10.254,17.334,-45.349
-0.094,-1.674,0.73,5.92,20.752,-7.507
0.402,-0.042,0.989,-10.864,12.146,36.011
0.451,-0.066,0.917,-25.574,-1.526,18.982
0.155,-0.123,1.012,-17.09,2.075,5.432
0.121,-0.113,0.949,-3.906,10.437,3.296
0.035,-0.249,0.972,3.967,13.184,5.859
0.094,-0.199,0.953,7.69,15.442,8.057
0.157,-0.286,0.946,10.864,15.869,5.737
0.202,0.059,0.88,8.789,13.794,-2.441
0.198,0.246,0.946,5.188,10.315,-11.353
0.184,0.209,0.963,14.343,10.132,-12.695
0.177,0.167,0.927,23.804,12.146,-5.859
0.115,0.12,0.92,27.527,12.085,-1.16
0.088,-0.124,0.961,28.015,12.878,1.77
0.162,-0.078,0.995,26.55,17.944,4.761
0.152,-0.031,0.981,28.87,23.132,4.089
0.212,-0.016,0.968,28.32,26.672,4.333
0.17,0.022,1.026,26.001,30.518,7.141
0.206,-0.0,0.958,23.743,37.598,10.315
0.237,-0.102,0.895,23.254,42.725,21.973
0.237,-0.02,0.852,25.574,39.673,25.085
0.249,0.015,0.902,29.419,33.63,26.001
0.078,0.035,0.811,34.668,29.907,32.043
0.312,-0.021,1.197,28.687,28.198,38.33
0.168,0.023,0.971,19.348,17.334,41.931
0.051,0.018,0.821,10.01,9.399,38.574
0.053,-0.005,0.986,9.155,-0.671,33.936
0.101,-0.036,1.065,5.554,-11.047,33.691
0.107,-0.058,1.133,-1.038,-25.208,32.349
0.173,-0.13,1.198,-1.892,-37.781,28.503
0.236,-0.202,1.305,-6.287,-45.166,24.841
0.215,-0.206,1.279,-1.16,-29.724,24.536
-0.23,0.577,1.265,52.856,-8.545,-108.765
-0.044,0.683,1.387,53.406,-0.488,-124.023
0.243,1.002,1.443,41.016,1.038,-129.333
0.607,1.409,1.507,32.104,8.545,-128.113
0.678,1.644,1.541,24.231,24.902,-121.643
0.359,1.478,1.457,8.85,35.828,-98.816
-0.214,0.994,1.053,-16.296,26.55,-61.462
-0.85,0.286,0.589,-39.917,-10.193,-35.4
-1.18,-0.311,0.253,-35.278,-59.509,-40.039
-1.593,-1.014,0.18,5.005,-104.675,-55.847
-2.173,-1.795,0.404,73.242,-117.371,-70.007
-2.451,-2.544,0.579,121.094,-60.364,-114.197
-2.245,-3.343,0.538,119.263,60.303,-186.951
-1.68,-3.95,0.186,86.365,157.898,-225.769
-0.802,-4.0,-0.246,48.889,182.495,-224.426
0.291,-3.774,-0.605,36.377,176.697,-218.445
1.434,-2.816,-0.678,66.223,213.44,-192.566
1.946,-1.948,-0.707,111.755,280.09,-122.986
1.931,-1.468,-0.615,139.526,329.895,-28.809
1.661,-1.303,-0.317,151.917,279.114,50.476
1.233,-1.257,0.181,152.161,141.113,93.14
0.828,-1.229,0.758,127.014,-7.69,103.699
0.516,-1.301,1.068,69.397,-111.511,109.863
0.216,-1.434,1.083,-2.38,-164.246,120.85
-0.115,-1.348,0.963,-64.209,-175.598,131.226
-0.419,-1.158,0.718,-108.215,-155.945,138.367
-0.623,-0.946,0.512,-131.348,-131.653,136.78
-0.76,-0.747,0.302,-128.845,-121.521,123.352
-0.749,-0.686,0.242,-103.271,-116.333,98.511
-0.798,-0.721,0.193,-68.665,-116.638,65.308
-0.776,-0.808,0.26,-36.194,-115.845,34.485
-0.652,-0.851,0.302,-11.23,-111.755,5.371
-0.497,-0.893,0.417,6.653,-110.657,-17.09
-0.302,-0.818,0.636,16.602,-104.797,-19.409
-0.213,-0.745,0.813,13.306,-93.384,0.916
-0.285,-0.744,0.831,-5.554,-76.965,28.015
-0.419,-0.761,0.748,-27.405,-50.171,47.791
-0.462,-0.751,0.713,-36.072,-15.564,59.021
-0.46,-0.651,0.654,-30.701,9.888,64.087
-0.447,-0.557,0.652,-18.188,17.395,65.247
-0.448,-0.529,0.729,-11.169,13.916,63.66
-0.466,-0.513,0.789,-10.925,9.155,58.105
-0.406,-0.488,0.863,-10.559,8.423,48.828
-0.29,-0.47,0.927,-8.24,8.24,40.283
-0.154,-0.477,1.037,-7.08,8.301,40.588
-0.066,-0.445,1.102,-9.583,9.888,50.842
-0.062,-0.365,1.093,-13.245,16.907,65.735
-0.122,-0.235,1.092,-14.526,31.372,77.148
-0.196,-0.145,1.048,-13.611,50.72,79.346
-0.204,-0.118,0.995,-11.047,67.261,72.937
0.147,0.04,0.919,-9.705,73.547,41.626
0.192,0.075,0.933,-13.184,59.631,33.142
0.33,0.1,0.92,-7.263,46.997,31.128
0.463,0.154,1.047,5.92,36.56,36.255
0.489,0.212,1.171,10.925,31.067,46.875
0.355,0.162,1.179,3.418,39.612,57.068
0.275,0.15,1.148,-7.69,52.307,58.411
0.252,0.143,1.108,-12.085,61.584,56.091
0.222,0.157,1.028,-7.874,64.209,49.683
0.264,0.193,0.987,-2.502,58.105,41.199
0.287,0.205,0.965,1.038,43.64,33.936
0.322,0.209,0.934,0.549,23.56,30.457
